t,φ,X,n
0.5,1,0.37623522596528824,2
0.5,2,0.6025931187430236,2
0.5,1,2.2331219071963915,0
0.5,1,2.027710972256663,0
0.5,1,0.266038660204159,1
0.5,1,2.7143148738292435,0
0.5,1,0.3802706344088487,1
0.5,1,0.8842064695561614,0
0.5,1,0.24984689064757531,1
0.5,1,0.4513151300479635,1
0.5,1,1.3459107130767993,0
0.5,2,0.9970879023272825,0
0.5,1,0.15365760221147234,1
0.5,2,4.00291517400601,0
0.5,2,2.3617830748723763,0
0.5,1,1.60859654866908,0
0.5,1,1.2654358601984552,0
0.5,2,0.02322699302859288,0
0.5,2,0.6182675660899026,0
0.5,2,1.5651873074192597,0
0.5,1,0.8954016926874875,1
0.5,2,0.28791892506145855,0
0.5,1,0.23386847444801284,1
0.5,1,0.02787668017610695,1
0.5,1,0.5476274062549671,2
0.5,2,1.9168339267464005,0
0.5,2,0.5659510815741665,3
0.5,2,0.2458424874451861,0
0.5,2,0.2942767824117387,0
0.5,1,0.4601638498775339,1
0.5,1,0.5610188885074867,1
0.5,1,1.0614973777348693,0
0.5,2,0.5676540523144991,3
0.5,1,0.43241780297390936,1
0.5,1,0.7986509183251576,0
0.5,2,0.05532955931665984,0
0.5,1,0.20498232345500234,1
0.5,1,0.992394388684052,0
0.5,2,1.3101250623917262,1
0.5,1,5.205523076721377,1
0.5,2,0.7376370325090607,1
0.5,2,0.13364846025603028,0
0.5,1,2.302323434053677,0
0.5,1,0.7755612710562906,1
0.5,1,5.108497447140768,1
0.5,2,0.26887341790038277,0
0.5,2,1.2982154201547593,3
0.5,1,0.10038146477916066,3
0.5,1,2.3154847814909125,0
0.5,1,1.8899895272653926,1
0.5,1,0.5358554623788541,0
0.5,2,0.22988611007824633,0
0.5,1,0.6007409007525297,0
0.5,1,2.103869804596954,0
0.5,1,0.9677060670820365,0
0.5,1,2.6922795539286586,0
0.5,2,1.2560867245251714,1
0.5,2,1.3533996180615206,1
0.5,2,0.030432134238507935,1
0.5,1,1.7324909087549478,0
0.5,2,0.8103077005839874,0
0.5,1,0.4282659042994513,1
0.5,1,2.363434654305421,0
0.5,2,0.1267310056997566,0
0.5,2,0.004139031689384676,0
0.5,1,0.9384649143692432,1
0.5,2,0.20179808955748219,4
0.5,2,0.9452259190828807,1
0.5,2,0.12475405108848103,1
0.5,2,0.5637976804583597,1
0.5,1,0.6167932524067226,0
0.5,1,0.960251968546281,0
0.5,1,1.19693539950895,0
0.5,1,1.7053021682622744,0
0.5,1,1.7329001882176924,1
0.5,2,1.35829063969311,1
0.5,2,0.354133314585764,0
0.5,1,0.5210917224021429,0
0.5,2,1.2414772967220504,1
0.5,2,0.48131676532250034,2
0.5,1,1.6739940596918799,0
0.5,1,1.6188185667878017,0
0.5,2,0.3912245081642754,2
0.5,2,0.16441817457664976,0
0.5,1,1.2419016344721103,0
0.5,1,2.6864945818929593,2
0.5,1,0.2252311140815833,1
0.5,2,2.8778073254518177,0
0.5,1,3.4161844602946188,1
0.5,1,1.8671944430091076,1
0.5,2,0.00397150265302082,0
0.5,2,0.927732582596754,0
0.5,2,0.35612973420440164,0
0.5,1,3.2263059055938337,0
0.5,2,0.2686185599428852,3
0.5,1,2.5104492664340894,0
0.5,1,1.9184690886452147,0
0.5,1,1.0994348265239904,1
0.5,2,0.32420509649287477,1
0.5,2,1.638255082045308,0
0.5,2,0.880741299832962,0
0.5,2,2.8965443495584147,1
0.5,1,0.9616067032332682,0
0.5,2,0.5987409715747093,1
0.5,1,2.257805731094343,0
0.5,2,1.2619615871070164,1
0.5,2,0.16881993159813324,0
0.5,2,0.04758867010101553,2
0.5,1,1.202307091699609,0
0.5,1,0.5793735851845689,0
0.5,2,2.458779357812837,1
0.5,1,0.9755763799882861,1
0.5,2,0.962577612953202,0
0.5,1,0.487255518113165,1
0.5,2,0.18312395718397412,0
0.5,2,0.5593090807178529,1
0.5,2,0.31896842829650074,0
0.5,1,1.0243752922787004,1
0.5,1,1.2352816915610494,0
0.5,2,0.25957054637286103,0
0.5,1,2.4816649864072557,1
0.5,2,0.9947991734444301,0
0.5,1,1.8372328870390324,0
0.5,2,1.4049114587379878,1
0.5,1,0.6256180995994789,0
0.5,1,2.619313898195419,2
0.5,1,1.340391349135593,0
0.5,1,1.8104572961664174,0
0.5,2,0.40117067089230496,1
0.5,2,1.4085401528167492,0
0.5,1,0.22523200649523,1
0.5,1,0.6341697622400084,2
0.5,1,2.190541669670436,0
0.5,2,0.13054162208414255,1
0.5,2,1.2056155427198352,1
0.5,2,1.209110103907804,0
0.5,1,3.666948264719704,0
0.5,1,0.7504153697187992,2
