t,φ,X,n
0.5,2,1.074786083645115,0
0.5,2,0.0402237256889747,0
0.5,2,0.8335764027593597,1
0.5,1,2.2559266831619587,0
0.5,2,1.3784151510461202,1
0.5,2,1.8283367021834391,0
0.5,2,0.7893966665097165,1
0.5,3,0.0,1
0.5,1,0.8028557480462767,0
0.5,1,0.9059539335825811,0
0.5,1,1.9570244208286454,1
0.5,1,1.3297246720879818,2
0.5,2,0.5637206250120836,0
0.5,2,0.5341150394081853,1
0.5,1,2.7388518924578795,1
0.5,1,1.6894365817847692,0
0.5,1,0.8644904524029213,0
0.5,1,0.840526201343784,0
0.5,3,0.0,1
0.5,3,0.0,1
0.5,2,1.0248455558908358,1
0.5,2,0.528022597710073,1
0.5,1,3.1681653230090236,0
0.5,1,2.0266676476358105,2
0.5,2,2.1863192971463157,0
0.5,2,0.7430800569260374,1
0.5,1,3.7270181144719454,0
0.5,2,1.2235801708172978,1
0.5,2,0.882221707653061,0
0.5,2,0.04148053817027886,1
0.5,1,1.2364078257347537,0
0.5,1,0.9446481520421012,0
0.5,1,0.9486686326578591,1
0.5,3,0.0,1
0.5,1,0.6262330489954953,1
0.5,1,0.44341157916622365,1
0.5,2,0.5496684127532492,1
0.5,1,1.4426871059657351,1
0.5,1,1.9527626460551082,0
